Zip,HOMEM,LA/RO,FORD,BUICK,CHEVR,DODGE,PORSC,INTER,ME/BE,JEEP,GMC,BMW,POLAR,KAWAS,HA/DA,VOLKS,CHRYS,VOLVO,LINCO,CADIL,NISSA,YAMAH,HONDA,TOYOT,AUDI,SUBAR,CA/ON,TESLA,MAZDA,FREIG,MITSU,LEXUS,HYUND,KIA,RAM,INFIN,ACURA,Median Income Per Person
12527,2,1,56,3,34,9,0,3,10,13,9,6,0,1,13,4,3,4,3,4,26,2,37,42,0,19,2,0,7,2,1,2,35,15,11,4,11,146406.0
13825,40,2,295,45,469,113,3,6,8,125,150,17,31,18,57,31,47,10,5,8,187,30,268,283,13,250,40,5,25,24,15,6,83,58,89,2,8,66250.0
13901,100,17,1629,172,1823,399,13,111,90,594,423,183,76,56,127,209,236,108,78,115,786,79,1166,2126,67,578,112,24,157,77,104,99,711,429,254,28,54,50479.0
10923,12,20,634,53,352,122,8,17,148,352,81,182,11,10,40,85,45,27,32,50,481,24,1274,1233,62,311,6,38,152,6,31,111,362,172,88,49,179,101771.0
13830,52,0,671,44,685,160,0,32,14,229,213,32,31,30,62,57,58,10,9,22,177,46,213,328,13,321,83,2,31,10,20,8,103,87,147,3,2,60469.0
13026,14,0,215,5,266,39,2,19,6,55,38,10,9,3,23,25,10,18,1,0,41,9,98,118,6,84,29,2,16,28,3,3,27,15,33,2,7,91652.0
10590,4,66,385,17,479,67,86,12,205,393,108,369,5,9,47,197,25,126,26,29,152,17,563,544,203,617,17,112,138,3,15,168,147,74,75,34,94,188732.0
10980,22,53,1291,97,759,237,48,35,349,633,191,346,25,35,124,213,68,70,85,122,662,81,1676,1362,167,698,18,72,250,8,33,186,514,254,222,72,221,128839.0
13082,53,1,495,59,908,190,2,18,19,259,151,34,91,17,109,80,64,16,20,28,133,50,230,329,29,190,80,6,76,5,50,9,128,166,171,7,15,76754.0
14143,17,2,175,26,353,56,3,41,2,65,72,8,28,5,22,9,16,4,4,11,38,22,55,127,6,39,26,0,12,10,4,3,25,21,47,1,2,94643.0
14108,54,3,826,139,1479,168,4,19,12,261,300,43,56,44,173,65,78,18,25,52,134,60,259,267,9,106,67,4,38,5,7,8,81,99,127,3,7,66477.0
11355,2,105,1104,40,546,199,165,10,1174,489,131,911,2,39,35,312,144,120,90,158,1633,46,3817,6594,424,697,3,357,518,23,71,1744,560,268,87,298,680,52658.0
13613,57,1,342,45,443,126,1,9,1,129,139,6,62,8,56,16,24,6,8,16,41,54,96,162,1,121,36,2,13,1,17,3,37,38,87,2,2,45893.0
14804,13,0,203,24,195,77,1,9,4,77,57,8,11,8,25,13,26,1,2,2,75,9,60,106,2,54,28,1,6,12,3,6,14,18,51,0,3,73393.0
11787,75,141,2668,234,2662,681,165,58,927,2100,716,1076,78,84,295,741,258,292,277,511,1795,178,3220,2757,487,1401,31,299,815,114,103,757,1340,764,715,359,640,139239.0
12173,9,3,155,11,208,49,3,5,12,71,63,19,6,5,40,38,13,17,11,10,51,14,124,267,10,106,26,3,16,1,11,2,56,46,41,4,7,77725.0
14819,7,1,126,10,120,46,0,1,1,39,19,3,8,1,6,1,7,1,3,3,36,7,21,19,1,25,10,0,3,1,3,0,13,8,32,0,2,56528.0
